STATE_NAME,DISTRICT_NAME,GAUL_CODE,GAUL_NAME
Andaman and Nicobar Islands,NICOBARS,17546,Nicobar Islands
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,17545,Andaman Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,17545,Andaman Islands
Andhra Pradesh,ADILABAD,17547,Adilabad
Andhra Pradesh,ANANTAPUR,17548,Anantapur
Andhra Pradesh,CHITTOOR,17549,Chittoor
Andhra Pradesh,EAST GODAVARI,17551,East Godavari
Andhra Pradesh,GUNTUR,17552,Guntur
Andhra Pradesh,HYDERABAD,17553,Hyderabad
Andhra Pradesh,KADAPA,17550,Cuddapah
Andhra Pradesh,KARIMNAGAR,17554,Karimnagar
Andhra Pradesh,KHAMMAM,17555,Khammam
Andhra Pradesh,KRISHNA,17556,Krishna
Andhra Pradesh,KURNOOL,17557,Kurnool
Andhra Pradesh,MAHBUBNAGAR,17558,Mahbubnagar
Andhra Pradesh,MEDAK,17559,Medak
Andhra Pradesh,NALGONDA,17560,Nalgonda
Andhra Pradesh,NIZAMABAD,17562,Nizamabad
Andhra Pradesh,PRAKASAM,17563,Prakasam
Andhra Pradesh,RANGAREDDI,17564,Rangareddi
Andhra Pradesh,SPSR NELLORE,17561,Nellore
Andhra Pradesh,SRIKAKULAM,17565,Srikakulam
Andhra Pradesh,VISAKHAPATANAM,17566,Vishakhapatnam
Andhra Pradesh,VIZIANAGARAM,17567,Vizianagaram
Andhra Pradesh,WARANGAL,17568,Warangal
Andhra Pradesh,WEST GODAVARI,17569,West Godavari
Arunachal Pradesh,ANJAW,23,Lohit
Arunachal Pradesh,CHANGLANG,18,Changlang
Arunachal Pradesh,DIBANG VALLEY,19,Dibang Valley
Arunachal Pradesh,EAST KAMENG,20,East Kameng
Arunachal Pradesh,EAST SIANG,21,East Siang
Arunachal Pradesh,KURUNG KUMEY,26,Lower Subansiri
Arunachal Pradesh,LOHIT,23,Lohit
Arunachal Pradesh,LOWER DIBANG VALLEY,19,Dibang Valley
Arunachal Pradesh,LOWER SUBANSIRI,26,Lower Subansiri
Arunachal Pradesh,PAPUM PARE,28,Papum Pare
Arunachal Pradesh,TAWANG,29,Tawang
Arunachal Pradesh,TIRAP,30,Tirap
Arunachal Pradesh,UPPER SIANG,31,Upper Siang
Arunachal Pradesh,UPPER SUBANSIRI,32,Upper Subansiri
Arunachal Pradesh,WEST KAMENG,33,West Kameng
Arunachal Pradesh,WEST SIANG,34,West Siang
Assam,BAKSA,,
Assam,BARPETA,17576,Barpeta
Assam,BONGAIGAON,70086,Bongaigaon
Assam,CACHAR,17577,Cachar
