State,District,NAME
Andaman and Nicobar,ANDAMAN,Andaman Islands
Andaman and Nicobar,ANDAMAN & NICOBAR ISLANDS,Andaman and Nicobar
Andaman and Nicobar,ANDAMAN AND NICOBAR ISLANDS,Andaman and Nicobar
Andaman and Nicobar,ANDMAN AND NICOBAR ISLANDS,Andaman and Nicobar
Andaman and Nicobar,DIGLIPUR,North and Middle Andaman
Andaman and Nicobar,FERRAS GUNG,NA
Andaman and Nicobar,MAYA BUNDAR,North and Middle Andaman
Andaman and Nicobar,N & M ANDA,North and Middle Andaman
Andaman and Nicobar,NICOBAR,Nicobar Islands
Andaman and Nicobar,NICOBARS,Nicobar Islands
Andaman and Nicobar,NORTH AND MIDDLE,North and Middle Andaman
Andaman and Nicobar,NORTH AND MIDDLE ANDAMAN,North and Middle Andaman
Andaman and Nicobar,PORT BLAIR,South Andaman
Andaman and Nicobar,RANGAT,North and Middle Andaman
Andaman and Nicobar,SOUTH ANDAMAN,South Andaman
Andaman and Nicobar,SOUTH ANDAMANS,South Andaman
Andaman and Nicobar,TOTAL,Total
Andhra Pradesh,ADIABAD,Adilabad
Andhra Pradesh,ADILABAD,Adilabad
Andhra Pradesh,ANANTAPUR,Anantapur
Andhra Pradesh,ANANTHAPUR,Anantapur
Andhra Pradesh,ANDHRA PRADESH,Andhra Pradesh
Andhra Pradesh,ANDHRA PRADESH (UNDIVIDED),Andhra Pradesh
Andhra Pradesh,CHECK,NA
Andhra Pradesh,CHITTOOR,Chittoor
Andhra Pradesh,CUDDAPAH,Cuddapah
Andhra Pradesh,EAST GODAVARI,East Godavari
Andhra Pradesh,GUNTUR,Guntur
Andhra Pradesh,HYDERABAD,Hyderabad
Andhra Pradesh,KADAPA,Cuddapah
Andhra Pradesh,KARIMNAGAR,Karimnagar
Andhra Pradesh,KHAMMAM,Khammam
Andhra Pradesh,KHAMMAMETH(KHAMMAM),Khammam
Andhra Pradesh,KHAMMAN,Khammam
Andhra Pradesh,KRISHANA,Krishna
Andhra Pradesh,KRISHNA,Krishna
Andhra Pradesh,KURNOOL,Kurnool
Andhra Pradesh,MAHABOOB NAGAR,Mahbubnagar
Andhra Pradesh,MAHABOOBNAGAR,Mahbubnagar
Andhra Pradesh,MAHABUBNAGAR,Mahbubnagar
Andhra Pradesh,MAHBOOBNAGAR,Mahbubnagar
Andhra Pradesh,MAHBUBNAGAR,Mahbubnagar
Andhra Pradesh,MEDAK,Medak
Andhra Pradesh,MEHBOOBNAGAR,Mahbubnagar
Andhra Pradesh,MEHBUBNAGAR,Mahbubnagar
Andhra Pradesh,NALGONDA,Nalgonda
Andhra Pradesh,NELLORE,Nellore
Andhra Pradesh,NIZAMABAD,Nizamabad
Andhra Pradesh,ONGALE,Prakasam
Andhra Pradesh,PRAKASAM,Prakasam
Andhra Pradesh,PRAKASHAM,Prakasam
Andhra Pradesh,RANGAREDDI,Rangareddi
Andhra Pradesh,RANGA REDDY,Rangareddi
Andhra Pradesh,RANGAREDDEY,Rangareddi
Andhra Pradesh,RANGAREDDY,Rangareddi
Andhra Pradesh,S.P.S. NELLORE,Nellore
Andhra Pradesh,SPSR NELLORE,Nellore
Andhra Pradesh,SRI POTTI SRIRAMULU NELLORE,Nellore
Andhra Pradesh,SRIKAKULAM,Srikakulam
Andhra Pradesh,SRIKAKULUM,Srikakulam
Andhra Pradesh,TOTAL,Total
Andhra Pradesh,VIJAYA NAGARAM,Vizianagaram
Andhra Pradesh,VIJIANAGARAM,Vizianagaram
Andhra Pradesh,VISAKHAPATANAM,Vishakhapatnam
Andhra Pradesh,VISAKHAPATNAM,Vishakhapatnam
Andhra Pradesh,VISHAKHAPATNAM,Vishakhapatnam
Andhra Pradesh,VIZIANAGARAM,Vizianagaram
Andhra Pradesh,VIZIANAGRAM,Vizianagaram
Andhra Pradesh,WARANGAL,Warangal
Andhra Pradesh,WARRANGAL,Warangal
Andhra Pradesh,WEST GODAVAR,West Godavari
Andhra Pradesh,WEST GODAVARI,West Godavari
Andhra Pradesh,Y.S.R. - CUDDAPAH,Cuddapah
Andhra Pradesh,Y.S.R. KADAPA,Cuddapah
Arunachal Pradesh,ANJAW,Anjaw
Arunachal Pradesh,ARUNACHAL PRADESH,Arunachal Pradesh
Arunachal Pradesh,CHANGLANG,Changlang
Arunachal Pradesh,DIBANG VALLEY,Dibang Valley
Arunachal Pradesh,EAST KAMENG,East Kameng
Arunachal Pradesh,EAST SIANG,East Siang
Arunachal Pradesh,KURUNG KUMEY,Kurung Kumey
Arunachal Pradesh,LOHIT,Lohit
Arunachal Pradesh,LOWER DIBANG,Lower Dibang Valley
Arunachal Pradesh,LOWER DIBANG VALLEY,Lower Dibang Valley
Arunachal Pradesh,LOWER SUBANSIRI,Lower Subansiri
Arunachal Pradesh,PAPUM PARE,Papum Pare
Arunachal Pradesh,PAPUMPARE,Papum Pare
Arunachal Pradesh,PAUMPARE,Papum Pare
Arunachal Pradesh,TAWANG,Tawang
Arunachal Pradesh,TIRAP,Tirap
Arunachal Pradesh,TOTAL,Total
Arunachal Pradesh,UPPER DIBANG VALLEY,Upper Dibang Valley
Arunachal Pradesh,UPPER SIANG,Upper Siang
Arunachal Pradesh,UPPER SUBANSIRI,Upper Subansiri
Arunachal Pradesh,WEST KAMENG,West Kameng
Arunachal Pradesh,WEST SIANG,West Siang
Assam,ASSAM,Assam
Assam,BAKSA,Baksa
Assam,BALIPARA,Balipara Frontier Tract
Assam,BALIPARA FRONTIER TRACT,Balipara Frontier Tract
Assam,BARPETA,Barpeta
Assam,BARPETTA,Barpeta
Assam,BONGAIGAON,Bongaigaon
Assam,CACHAR,Cachar
Assam,CHECK,NA
Assam,CHIRANG,Chirang
Assam,DARRANG,Darrang
Assam,DEBRUGARH,Dibrugarh
Assam,DHEMAJI,Dhemaji
Assam,DHUBRI,Dhuburi
Assam,DIBRUGARH,Dibrugarh
Assam,DIMA HASAO,North Cachar Hills
Assam,DIMA HASAO / NORTH CACHAR HILLS,North Cachar Hills
Assam,GARO HILLS,Garo Hills
Assam,GOALPARA,Goalpara
Assam,GOLAGHAT,Golaghat
Assam,HAILAKANDI,Hailakandi
Assam,JORHAT,Jorhat
Assam,K. ANGLONG,Karbi Anglong
Assam,KAMRUP,Kamrup
Assam,KAMRUP ( RURAL ),Kamrup
Assam,KAMRUP METRO,Kamrup Metropolitan
Assam,KAMRUP METROPOLITAN,Kamrup Metropolitan
Assam,KARBI ANGLONG,Karbi Anglong
Assam,KARBI-ANGLONG,Karbi Anglong
Assam,KARBIANGLONG,Karbi Anglong
Assam,KARIMGANJ,Karimganj
Assam,KHASI & JAINTIA HILLS,Khasi and Jaintia Hills
Assam,KOKRAJHAR,Kokrajhar
Assam,LAKHIMPUR,Lakhimpur
Assam,LUSHAI HILLS,Lushai Hills
Assam,MARIGAON,Marigaon
Assam,MIKIR & N.C.HILLS,United Mikir Hills and North Cachar Hills
Assam,MIKIR HILLS,Karbi Anglong
Assam,MIZO,Lushai Hills
Assam,MORIGAON,Marigaon
Assam,MORIGON,Marigaon
Assam,N C HILLS,North Cachar Hills
Assam,N.C. HILLS,North Cachar Hills
Assam,N.C.HILLS,North Cachar Hills
Assam,NAGA HILLS,Naga Hills
Assam,NAGAON,Nagaon
Assam,NAGOAN,Nagaon
Assam,NALBARI,Nalbari
Assam,NC HILLS,North Cachar Hills
Assam,NORTH CACHAR HILLS,North Cachar Hills
Assam,NOWGONG,Nagaon
Assam,SADIYA FRONTIER TRACT,Sadiya Frontier Tract
Assam,SIBASAGAR,Sibsagar
Assam,SIBSAGAR,Sibsagar
Assam,SIVASAGAR,Sibsagar
Assam,SONIPUR,Sonitpur
Assam,SONITPUR,Sonitpur
Assam,TINSUKIA,Tinsukia
Assam,TIRAP FRONTIER TRACT,Tirap
Assam,TOTAL,Total
Assam,UDALGURI,Udalguri
Assam,UNITED K & J HILL,Khasi and Jaintia Hills
Assam,UNITED MIKAR AND H.C.HILLS,United Mikir Hills and North Cachar Hills
Assam,UNITED MIKIR NORTH CACHAR HILLS,United Mikir Hills and North Cachar Hills
Bihar,AARREYA,Araria
Bihar,ARARIA,Araria
Bihar,ARVAL,Arwal
Bihar,ARWAL,Arwal
Bihar,AURANGABAD,Aurangabad
Bihar,BANKA,Banka
Bihar,BEGUSARAI,Begusarai
Bihar,BEGYSARAI,Begusarai
Bihar,BHABHUA,Bhabua
Bihar,BHABUA,Bhabua
Bihar,BHAGALPUR,Bhagalpur
Bihar,BHOJPUR,Bhojpur
Bihar,BIHAR,Bihar
Bihar,BOKARO,Bokaro
Bihar,BUXAR,Buxar
Bihar,BUXER,Buxar
Bihar,CHAMPARAN,Champaran
Bihar,CHAMPARAN (EAST),Purba Champaran
Bihar,CHAMPARAN (WES),Pashchim Champaran
Bihar,CHAMPARAN (WEST),Pashchim Champaran
Bihar,CHAMPARAN EAST,Purba Champaran
Bihar,CHAMPARAN WEST,Pashchim Champaran
Bihar,CHATRA,Chatra
Bihar,CHECK,NA
Bihar,CHITRA,Chatra
Bihar,DARBHANGA,Darbhanga
Bihar,DEOGHAR,Deoghar
Bihar,DHANBAD,Dhanbad
Bihar,DHUMKA,Dumka
Bihar,DUMKA,Dumka
Bihar,EAST / PURBA CHAMPARAN,Purba Champaran
Bihar,EAST CHAMPARAN,Purba Champaran
Bihar,EAST SINGHBHUM,Purba Singhbhum
Bihar,GADHWA,Garhwa
Bihar,GARHWA,Garhwa
Bihar,GAYA,Gaya
Bihar,GIRIDIH,Giridih
Bihar,GODDA,Godda
Bihar,GONDA,Godda
Bihar,GOPAALGANJ,Gopalganj
Bihar,GOPALGANJ,Gopalganj
Bihar,GUMALA,Gumla
Bihar,GUMLA,Gumla
Bihar,HAZARIBAG,Hazaribag
Bihar,HAZARIBAGH,Hazaribag
Bihar,JAHANABAD,Jehanabad
Bihar,JAMUI,Jamui
Bihar,JEHANABAD,Jehanabad
Bihar,JHABHUA,Bhabua
Bihar,KAIMUR - BHABUA,Bhabua
Bihar,KAIMUR (BHABUA),Bhabua
Bihar,KAITHAR,Katihar
Bihar,KATIHAR,Katihar
Bihar,KHAGARIA,Khagaria
Bihar,KISHANGANJ,Kishanganj
Bihar,KODARMA,Koderma
