State,,District,GAUL_CODE,GAUL_NAME
Andaman and Nicobar,1484,Andaman and Nicobar,17545,Andaman and Nicobar
Andaman and Nicobar,1484,Nicobar Islands,17545,Andaman and Nicobar
Andaman and Nicobar,1484,North and Middle Andaman,17545,Andaman and Nicobar
Andaman and Nicobar,1484,South Andaman,17545,Andaman and Nicobar
Andhra Pradesh,1485,Adilabad,17547,Adilabad
Andhra Pradesh,1485,Anantapur,17548,Anantapur
Andhra Pradesh,1485,Chittoor,17549,Chittoor
Andhra Pradesh,1485,Cuddapah,17550,Cuddapah
Andhra Pradesh,1485,East Godavari,17551,East Godavari
Andhra Pradesh,1485,Guntur,17552,Guntur
Andhra Pradesh,1485,Hyderabad,17553,Hyderabad
Andhra Pradesh,1485,Karimnagar,17554,Karimnagar
Andhra Pradesh,1485,Khammam,17555,Khammam
Andhra Pradesh,1485,Krishna,17556,Krishna
Andhra Pradesh,1485,Kurnool,17557,Kurnool
Andhra Pradesh,1485,Mahbubnagar,17558,Mahbubnagar
Andhra Pradesh,1485,Medak,17559,Medak
Andhra Pradesh,1485,Nalgonda,17560,Nalgonda
Andhra Pradesh,1485,Nellore,17561,Nellore
Andhra Pradesh,1485,Nizamabad,17562,Nizamabad
Andhra Pradesh,1485,Prakasam,17563,Prakasam
Andhra Pradesh,1485,Rangareddi,17564,Rangareddi
Andhra Pradesh,1485,Srikakulam,17565,Srikakulam
Andhra Pradesh,1485,Vishakhapatnam,17566,Vishakhapatnam
Andhra Pradesh,1485,Vizianagaram,17567,Vizianagaram
Andhra Pradesh,1485,Warangal,17568,Warangal
Andhra Pradesh,1485,West Godavari,17569,West Godavari
Arunachal Pradesh,15,Anjaw,23,Lohit
Arunachal Pradesh,15,Changlang,18,Changlang
Arunachal Pradesh,15,Dibang Valley,19,Dibang Valley
Arunachal Pradesh,15,East Kameng,20,East Kameng
Arunachal Pradesh,15,East Siang,21,East Siang
Arunachal Pradesh,15,Kurung Kumey,26,Lower Subansiri
Arunachal Pradesh,15,Lohit,23,Lohit
Arunachal Pradesh,15,Lower Dibang Valley,19,Dibang Valley
Arunachal Pradesh,15,Lower Subansiri,26,Lower Subansiri
Arunachal Pradesh,15,Papum Pare,28,Papum Pare
Arunachal Pradesh,15,Tawang,29,Tawang
Arunachal Pradesh,15,Tirap,30,Tirap
Arunachal Pradesh,15,Upper Siang,31,Upper Siang
Arunachal Pradesh,15,Upper Subansiri,32,Upper Subansiri
Arunachal Pradesh,15,West Kameng,33,West Kameng
Arunachal Pradesh,15,West Siang,34,West Siang
Assam,1487,Baksa,NA,NA
Assam,1487,Barpeta,17576,Barpeta
Assam,1487,Bongaigaon,70086,Bongaigaon
Assam,1487,Cachar,17577,Cachar
Assam,1487,Chirang,70086,Bongaigaon
Assam,1487,Darrang,40,Darrang
Assam,1487,Dhemaji,41,Dhemaji
Assam,1487,Dhuburi,17579,Dhuburi
Assam,1487,Dibrugarh,17580,Dibrugarh
Assam,1487,Goalpara,17581,Goalpara
Assam,1487,Golaghat,17582,Golaghat
Assam,1487,Hailakandi,70088,Hailakandi
Assam,1487,Jorhat,70089,Jorhat
Assam,1487,Kamrup,17583,Kamrup
Assam,1487,Kamrup Metropolitan,17583,Kamrup
Assam,1487,Karbi Anglong,17584,Karbi Anglong
Assam,1487,Karimganj,17585,Karimganj
Assam,1487,Kokrajhar,70090,Kokrajhar
Assam,1487,Lakhimpur,54,Lakhimpur
Assam,1487,Marigaon,70092,Marigaon
Assam,1487,Nagaon,17589,Nagaon
Assam,1487,Nalbari,17590,Nalbari
Assam,1487,North Cachar Hills,17591,North Cachar Hills
Assam,1487,Sibsagar,17592,Sibsagar
Assam,1487,Sonitpur,59,Sonitpur
Assam,1487,Tinsukia,60,Tinsukia
Assam,1487,Udalguri,40,Darrang
Bihar,70073,Araria,70094,Araria
Bihar,70073,Arwal,17607,Jehanabad
